x,y,id,sample
741634,3669661,1,1
741559,3669664,2,1
741703,3669669,3,1
741429,3669669,4,1
741356,3669671,5,1
741684,3669676,6,1
741501,3669682,7,1
741576,3669711,8,1
741594,3669716,9,1
741657,3669717,10,1
741452,3669722,11,1
741369,3669725,12,1
741704,3669744,13,1
741483,3669765,14,1
741546,3669766,15,1
741405,3669773,16,1
741630,3669776,17,1
741361,3669721,18,2
741361,3669672,19,2
741428,3669770,20,2
741428,3669721,21,2
741428,3669672,22,2
741495,3669770,23,2
741495,3669721,24,2
741495,3669672,25,2
741562,3669770,26,2
741562,3669721,27,2
741562,3669672,28,2
741629,3669770,29,2
741629,3669721,30,2
741629,3669672,31,2
741696,3669770,32,2
741696,3669721,33,2
741696,3669672,34,2
741634,3669660,35,3
741560,3669661,36,3
741703,3669667,37,3
741430,3669670,38,3
741354,3669672,39,3
741684,3669674,40,3
741536,3669703,41,3
741574,3669711,42,3
741657,3669717,43,3
741365,3669722,44,3
741675,3669722,45,3
741442,3669731,46,3
741493,3669756,47,3
741548,3669763,48,3
741403,3669775,49,3
741712,3669777,50,3
741619,3669786,51,3
